EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8
0,0,0,0,0,0,0,0
-13299.3,-11595.4,-12039.2,-16398.5,2334.1,5241.6,4028.2,4170.9
-13302.9,-11600,-12038.2,-16401.5,2336.7,5242.4,4025.1,4171.1
-13306,-11606,-12042.2,-16405.2,2340.3,5243.1,4021.6,4170.7
-13305,-11607.2,-12045.1,-16406.8,2340.8,5240.9,4017.4,4169.9
-13303.6,-11600.7,-12044.2,-16404.2,2337.9,5238.6,4016.9,4170.4
-13301,-11593.7,-12040.7,-16400.1,2327.4,5233.2,4015.9,4166.7
-13297.3,-11589,-12039,-16398.5,2323.3,5231.8,4015.5,4163.9
-13298.4,-11591.4,-12039.8,-16400.1,2326,5232.7,4015.9,4164
-13301.2,-11590.2,-12039.2,-16399.7,2325.7,5230.8,4011,4160.5
-13304.2,-11580.4,-12036.4,-16399.7,2324.3,5224.1,4003.5,4153.1
-13307.1,-11581.7,-12037.3,-16399.5,2325.5,5223.6,4006.5,4158.8
-13307.7,-11586.9,-12039.8,-16398.2,2328.7,5227.8,4012.7,4162.7
-13307.3,-11592.1,-12040.8,-16399.2,2331.2,5231.6,4014.9,4163.5
-13308.6,-11592.1,-12041.5,-16397.9,2331.1,5232.4,4012.5,4163.8
-13313.1,-11589.6,-12044.8,-16397.1,2330.6,5232.8,4011.6,4166.4
-13311.3,-11588.5,-12043.9,-16396.8,2327.4,5234.3,4015.6,4170.3
-13309.4,-11587.9,-12044.4,-16397.8,2322.9,5237.4,4019.7,4172.7
-13309.9,-11588.4,-12046.7,-16402.9,2319.6,5238.3,4020,4170.9
-13311.8,-11592.7,-12045.6,-16402.9,2325.7,5238.6,4018.4,4170.3
-13313.3,-11593,-12048.5,-16402.3,2329.5,5241,4020.4,4172.7
-13312.1,-11592.8,-12044.5,-16402.8,2331.1,5242.4,4020.7,4172.6
-13309.2,-11591.7,-12037.6,-16402.7,2331.4,5241.3,4018.7,4169
-13307.6,-11589.2,-12038.3,-16399.7,2328.6,5241.6,4018.3,4169.3
-13311.1,-11588,-12044.3,-16397.2,2329.6,5244,4019.4,4172.3
-13312.5,-11588.9,-12047.5,-16395.6,2332.2,5246.5,4022.8,4178
-13314.5,-11589,-12050.3,-16392.5,2340.7,5254.7,4031.8,4190.2
-13313.2,-11590.4,-12042.3,-16394.4,2343.9,5256.1,4035.9,4188.6
-13310.4,-11587.3,-12036.1,-16396.1,2343.6,5253.1,4033.8,4181.7
-13308.3,-11584.4,-12034.1,-16396.9,2344.4,5251.1,4031.1,4179.2
-13306.4,-11584.8,-12034.8,-16396.5,2343.7,5250.6,4028.5,4181
-13304,-11582.3,-12033.5,-16396.4,2342.1,5249.1,4024,4178.3
-13304.3,-11582.2,-12031.5,-16398.6,2340.8,5247.4,4020.5,4177.1
-13306.2,-11583.9,-12033.6,-16397.3,2339.5,5248.3,4020.7,4178.7
-13309.6,-11589,-12038.6,-16398.6,2341.4,5252.9,4028.5,4184.4
-13310.2,-11587.5,-12037.2,-16398.1,2342.1,5253.3,4028.6,4181.7
-13310.5,-11583.8,-12035.3,-16395.4,2340.6,5248.8,4021.9,4176.1
-13311.4,-11583.8,-12035.9,-16395.8,2339.4,5245.6,4019.9,4175.5
-13309,-11586.7,-12035.5,-16396.9,2334.9,5238.8,4014.2,4166.5
-13309.1,-11587.4,-12033.6,-16398.3,2332.3,5233.9,4008.4,4161.2
-13314.5,-11591.1,-12033.8,-16401.3,2333.9,5235.4,4010.7,4164.9
-13316.5,-11591.3,-12035.3,-16401.8,2333.5,5235.4,4011.9,4163.7
-13312.3,-11582.2,-12032.4,-16400.1,2327.3,5227.2,4000.8,4152.4
-13312,-11587.7,-12031.4,-16404.4,2330.8,5226.5,4001.7,4155.3
-13311.8,-11594.9,-12032.2,-16407.8,2332.6,5231.5,4008.8,4162.2
-13313.2,-11597.9,-12034.2,-16409.2,2332.6,5234.9,4013.4,4165.1
-13313.4,-11597.4,-12035.8,-16408.4,2333.7,5238.2,4015.6,4166
-13313.8,-11598.3,-12035.2,-16409.1,2333.6,5239.9,4016.9,4167.8
-13315.4,-11600.2,-12035.3,-16410.1,2332.9,5240.9,4019,4169.8
-13314.7,-11598.8,-12035.9,-16411.3,2331.4,5240.5,4019.4,4170.4
-13311.4,-11602,-12035.9,-16415.3,2326.4,5238.9,4020.2,4168.2
-13310.5,-11603.3,-12037.2,-16413.6,2326.6,5238,4018.7,4166
-13312.2,-11602.1,-12037.7,-16411.9,2327.2,5240.2,4018.4,4168.4
-13315.1,-11601.5,-12038.2,-16412.1,2334.6,5243.7,4023.5,4167.8
-13315.2,-11599.6,-12036.4,-16412.7,2338.1,5244,4024.2,4166.2
-13314.3,-11597.1,-12035.5,-16414.7,2336.3,5244.6,4023.3,4167.6
-13318.2,-11596.9,-12034,-16411.8,2337.9,5244.8,4024.2,4168.1
-13316.9,-11598.3,-12036.6,-16408.3,2340.5,5247.8,4028.9,4173.7
-13317.6,-11601.9,-12040.5,-16405.5,2345.4,5257.1,4039.4,4189
-13314.7,-11599,-12037.2,-16403.1,2343.4,5258.5,4040.6,4185.9
-13310.9,-11592.3,-12034,-16402,2341.5,5256.5,4036,4178.4
-13307.6,-11589.9,-12031.4,-16401.4,2340.5,5254.5,4032.8,4176.6
-13304.8,-11589.7,-12030.8,-16398.5,2340.8,5255,4031.2,4176.5
-13306,-11587.7,-12032.2,-16395.2,2340.8,5254.1,4028.3,4175.5
-13306.6,-11589.4,-12030.5,-16397.4,2341.1,5252,4026.4,4174.2
-13307,-11590.7,-12031.1,-16399.5,2340.5,5251.5,4026.2,4174.9
-13309.7,-11592.4,-12034.9,-16400.4,2338.3,5255.2,4031.4,4181.3
-13311.1,-11590,-12030.6,-16400.2,2338.1,5256.1,4031.7,4179.7
-13308.5,-11589.9,-12027.2,-16400.6,2338.1,5253.5,4028.7,4176.1
-13304.2,-11592.3,-12028.9,-16399.9,2339.5,5250.6,4026.6,4172.9
-13304.9,-11591.4,-12033.9,-16397.7,2336,5243.6,4019.5,4166.2
-13306.4,-11591,-12034,-16398.9,2333.3,5240.7,4016.9,4166.7
-13304.8,-11590.8,-12030.5,-16400.4,2331.4,5239.9,4016.1,4166.7
-13301.8,-11586.3,-12028.9,-16401.4,2327,5237.2,4011.6,4162
-13300.9,-11581.8,-12028.8,-16401.7,2323.4,5230.5,4003.5,4150.7
-13304.8,-11588.8,-12028.1,-16401.9,2326.9,5228.2,4001.2,4154.8
-13307.7,-11595.3,-12027.6,-16401.9,2328.2,5231.6,4004.4,4163.2
-13310.9,-11597.1,-12028.2,-16401.8,2328.4,5235,4008.7,4166.1
-13310,-11595.9,-12028.6,-16401.4,2328.6,5236.8,4009.8,4166.1
-13309.7,-11596.3,-12029.6,-16401.5,2329.4,5238.7,4010.2,4166.7
-13310.8,-11597.4,-12033.9,-16402.6,2332.4,5239.1,4012.6,4166
-13312,-11596.4,-12036.5,-16404.9,2333.5,5239.7,4014.3,4165.7
-13315.2,-11597.1,-12037.2,-16409.5,2329.8,5237.3,4015,4163.6
-13315.9,-11595.5,-12035.4,-16408,2330.6,5235,4012.3,4159.9
