Detector 2,,,,,,,,Detector 4,,,,,,,,Detector 6,,,,,,,,Detector 8,,,,,,,,Detector 10,,,,,,,,Detector 12,,,,,,,,Detector 14,,,,,,,,Detector 16,,,,,,,
"RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 "
648,5971,218,161,161,154,155,154,607,4487,204,162,157,153,153,153,481,4562,203,188,160,160,159,159,515,2682,187,172,166,163,163,170,191,291,22283,24268,10553,13698,367,209,276,507,20988,14730,25487,25225,569,423,865,5782,24241,31557,20604,28666,32357,26449,154,1045,7055,6789,4070,6532,8623,29610
643,5967,215,157,155,155,160,154,601,4486,200,157,154,159,159,159,478,4557,204,187,164,157,160,158,513,2679,185,172,166,163,166,169,198,290,22300,24293,10561,13715,365,208,286,511,20964,14711,25490,25225,563,420,1188,5801,24251,31558,20601,28665,32366,26458,535,1058,7056,6793,4071,6533,8626,29619
645,5971,221,157,153,148,154,154,603,4487,199,158,152,155,158,145,479,4550,205,187,161,160,161,161,512,2679,191,171,164,165,163,170,200,294,22303,24315,10566,13729,366,209,284,510,20940,14691,25503,25240,569,422,1190,5809,24244,31551,20588,28655,32370,26468,535,1057,7056,6793,4072,6535,8626,29631
645,5971,214,165,155,156,160,152,602,4488,199,157,161,158,157,151,478,4547,205,187,163,161,164,161,512,2681,186,171,165,165,164,169,199,293,22329,24358,10568,13750,368,209,285,512,20923,14691,25525,25268,569,422,1191,5818,24242,31554,20575,28653,32379,26485,534,1061,7056,6794,4070,6536,8628,29637
643,5972,217,164,153,157,153,154,602,4493,202,162,158,157,159,154,472,4541,204,193,167,159,166,161,512,2680,187,171,165,165,165,168,197,293,22347,24406,10575,13767,367,205,285,512,20927,14703,25548,25305,570,424,1192,5827,24239,31561,20564,28662,32388,26496,532,1061,7058,6798,4072,6541,8630,29654
645,5979,217,160,156,154,157,153,602,4498,199,156,157,156,159,156,477,4541,207,186,162,165,163,164,511,2683,187,172,162,167,166,168,202,295,22369,24442,10574,13788,367,209,287,512,20933,14713,25576,25345,567,423,1197,5843,24247,31571,20546,28658,32398,26513,533,1061,7059,6803,4073,6547,8632,29675
643,5979,219,156,156,154,153,153,603,4501,201,159,157,153,158,151,476,4538,206,187,163,161,158,158,511,2682,193,171,164,165,163,168,197,293,22372,24481,10571,13803,365,207,286,515,20927,14713,25603,25379,569,424,1195,5851,24246,31586,20531,28661,32407,26523,531,1064,7060,6805,4074,6549,8636,29690
641,5984,217,157,154,153,156,156,604,4502,199,159,152,160,154,155,477,4540,204,187,167,161,161,160,510,2686,185,173,168,164,167,167,198,294,22385,24504,10576,13833,367,207,285,516,20927,14716,25632,25420,570,424,1196,5864,24255,31604,20521,28667,32417,26539,533,1065,7062,6806,4078,6549,8639,29703
645,5983,214,160,155,157,154,154,603,4504,203,161,158,158,151,150,477,4538,205,189,167,159,160,159,514,2687,187,171,164,167,166,168,199,294,22382,24476,10595,13794,370,209,285,514,20899,14693,25654,25381,569,423,1195,5861,24282,31617,20551,28685,32423,26524,533,1064,7071,6802,4076,6546,8643,29692
643,5960,215,158,157,153,156,154,605,4499,201,159,156,157,155,159,476,4526,196,186,163,165,157,163,511,2684,186,176,165,168,166,168,198,293,22334,24354,10584,13723,366,209,286,513,20879,14661,25614,25292,567,423,1198,5841,24284,31578,20582,28683,32423,26516,533,1061,7065,6796,4075,6539,8640,29673
642,5944,213,157,157,157,154,155,603,4492,200,157,159,159,156,159,474,4510,206,186,161,165,159,165,513,2682,188,173,167,164,166,168,196,296,22293,24250,10580,13677,369,209,285,511,20851,14617,25581,25219,566,422,1196,5823,24279,31532,20592,28666,32419,26509,531,1058,7065,6784,4077,6528,8639,29648
643,5927,214,157,156,157,153,157,605,4483,202,162,158,154,149,153,475,4491,203,188,164,161,161,159,511,2679,185,171,164,163,163,170,197,293,22267,24186,10582,13651,365,206,285,509,20818,14579,25560,25169,565,421,1193,5806,24264,31490,20601,28647,32420,26499,531,1056,7055,6774,4070,6522,8631,29626
642,5923,212,160,155,158,153,154,603,4481,200,161,155,164,155,158,477,4481,205,190,161,163,163,164,513,2676,187,171,164,167,163,169,196,291,22255,24192,10582,13669,363,213,283,503,20797,14556,25545,25162,565,421,1195,5807,24245,31463,20583,28636,32413,26502,530,1055,7051,6771,4069,6521,8626,29614
640,5919,215,160,156,155,155,152,602,4480,199,155,156,155,156,167,477,4473,203,187,160,165,161,160,514,2673,185,168,162,167,163,169,194,291,22265,24210,10585,13677,369,208,283,508,20766,14527,25539,25155,564,420,1197,5805,24246,31454,20565,28623,32406,26497,533,1055,7042,6763,4068,6520,8623,29612
643,5919,220,158,159,153,155,154,604,4477,198,157,159,147,153,151,475,4467,205,187,161,165,161,160,512,2671,186,169,168,165,165,168,200,293,22265,24228,10579,13694,366,207,284,508,20743,14515,25540,25166,566,420,1194,5810,24234,31449,20549,28610,32406,26499,533,1055,7035,6764,4069,6515,8625,29614
642,5919,215,160,157,154,155,153,604,4475,199,155,157,159,152,157,473,4463,204,187,163,162,162,161,510,2676,185,172,163,165,163,168,197,294,22285,24268,10580,13710,366,211,283,509,20747,14521,25558,25189,565,421,1195,5821,24233,31449,20523,28605,32408,26502,532,1055,7035,6761,4067,6518,8624,29623
641,5919,217,157,154,152,153,153,602,4480,199,157,155,163,156,155,476,4460,203,186,164,162,164,161,511,2673,186,170,163,163,163,171,197,291,22303,24307,10577,13728,367,208,286,508,20736,14522,25579,25215,565,422,1199,5830,24232,31457,20506,28591,32411,26508,530,1059,7033,6761,4069,6521,8623,29638
643,5929,215,161,155,158,152,153,603,4479,199,155,156,152,152,160,472,4459,203,187,168,162,160,162,510,2675,182,172,167,163,164,172,194,293,22327,24348,10578,13751,366,208,285,512,20736,14527,25604,25253,565,423,1200,5838,24231,31468,20481,28591,32412,26519,532,1060,7031,6758,4073,6523,8628,29657
643,5934,216,157,156,157,152,155,603,4485,199,162,149,160,171,155,473,4457,204,186,165,162,164,160,510,2678,187,173,163,167,163,170,197,295,22346,24390,10581,13768,366,207,285,511,20744,14535,25629,25293,570,422,1199,5850,24227,31476,20461,28587,32414,26520,531,1059,7030,6758,4069,6525,8631,29677
643,5937,215,157,155,155,153,155,601,4488,199,162,161,154,155,153,472,4458,205,187,161,162,161,161,510,2682,190,171,165,165,163,168,199,294,22373,24432,10582,13793,366,209,286,510,20749,14542,25661,25328,566,422,1201,5862,24229,31485,20434,28580,32414,26525,533,1063,7029,6754,4071,6527,8632,29690
643,5945,218,159,155,155,155,157,603,4492,200,158,153,151,156,157,473,4461,204,187,165,162,162,160,514,2687,187,172,163,166,164,169,200,295,22383,24471,10585,13816,368,208,284,515,20733,14533,25682,25359,568,425,1199,5877,24221,31486,20413,28576,32427,26535,531,1060,7023,6747,4073,6533,8638,29703
644,5951,215,158,156,156,154,154,602,4496,199,157,159,154,156,155,473,4463,204,188,162,162,165,160,511,2690,186,172,164,165,164,168,198,296,22400,24509,10580,13839,369,209,286,514,20735,14538,25706,25393,570,423,1206,5891,24230,31506,20395,28583,32427,26543,534,1065,7022,6747,4073,6532,8639,29721
642,5951,217,158,156,155,157,155,599,4501,197,159,156,156,158,155,472,4470,206,187,163,161,161,161,510,2693,186,171,163,163,162,172,198,296,22422,24552,10589,13866,368,211,285,516,20705,14511,25719,25404,567,422,1207,5911,24217,31509,20381,28589,32436,26544,533,1066,7010,6737,4073,6532,8647,29735
642,5927,215,157,156,155,157,153,604,4497,198,162,159,157,157,155,473,4464,205,188,161,161,158,161,510,2691,185,173,162,163,165,168,197,297,22415,24462,10590,13771,366,210,287,515,20665,14461,25697,25295,566,423,1203,5896,24242,31484,20424,28599,32442,26535,533,1062,7019,6731,4074,6526,8647,29711
642,5911,215,153,159,157,153,154,604,4493,204,158,161,160,159,155,473,4450,206,190,166,165,165,161,510,2684,188,171,167,165,163,173,198,295,22364,24332,10568,13692,365,207,284,511,20638,14429,25641,25200,566,414,1200,5881,24239,31445,20455,28595,32445,26524,532,1060,7024,6729,4073,6518,8646,29690
640,5897,216,157,156,155,154,155,606,4484,201,162,159,161,158,155,471,4437,203,187,163,159,163,162,511,2677,185,174,165,163,167,169,196,293,22334,24227,10561,13639,364,210,280,508,20598,14383,25600,25116,566,423,1203,5860,24236,31398,20481,28581,32447,26515,531,1055,7024,6718,4071,6509,8641,29655
640,5887,216,158,156,158,155,154,603,4479,199,156,153,160,158,157,471,4421,204,187,163,163,162,160,514,2674,186,172,164,167,162,168,194,295,22314,24180,10560,13623,365,206,284,507,20571,14358,25572,25078,563,418,1200,5848,24228,31358,20491,28570,32443,26515,531,1055,7023,6718,4074,6507,8637,29638
643,5889,215,158,156,155,154,155,604,4478,199,158,157,158,155,152,470,4417,203,186,162,163,160,161,512,2672,185,171,163,166,164,166,200,295,22325,24212,10565,13650,365,207,281,507,20563,14343,25573,25074,563,417,1204,5851,24219,31347,20477,28557,32441,26509,531,1053,7021,6718,4071,6506,8629,29637
641,5884,219,157,156,155,154,155,604,4474,201,162,155,157,154,155,472,4414,198,186,160,165,162,159,508,2670,187,175,167,164,163,171,197,297,22326,24222,10571,13663,366,207,283,508,20529,14322,25566,25072,564,419,1202,5853,24218,31340,20455,28535,32431,26505,530,1054,7015,6711,4072,6503,8627,29629
638,5880,215,157,154,157,153,157,606,4471,198,159,155,152,157,156,470,4413,207,187,167,162,165,158,510,2669,190,175,168,164,163,166,196,294,22345,24249,10567,13677,366,208,282,509,20515,14314,25571,25082,565,423,1202,5858,24216,31334,20438,28514,32434,26505,529,1055,7011,6707,4070,6502,8628,29639
639,5891,217,157,153,153,158,152,603,4475,198,156,152,156,155,157,472,4415,204,186,164,161,162,162,510,2670,186,171,163,164,162,168,196,299,22357,24285,10570,13699,364,207,281,510,20504,14310,25589,25107,564,420,1199,5863,24211,31336,20407,28499,32422,26505,530,1055,7008,6709,4071,6503,8628,29644
