Detector 2,,,,,,,,Detector 4,,,,,,,,Detector 6,,,,,,,,Detector 8,,,,,,,,Detector 10,,,,,,,,Detector 12,,,,,,,,Detector 14,,,,,,,,Detector 16,,,,,,,
"RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 "
2475,14904,344,161,156,156,157,153,11727,57480,1053,189,167,172,167,161,1175,6898,265,221,202,202,201,206,1099,7768,278,229,215,217,219,213,1410,1767,30739,35196,31806,30274,1765,1448,1010,1469,18025,17019,19528,21702,1212,1017,672,6096,12792,20719,22538,24491,37187,31617,1173,11118,22799,24427,32386,30394,32949,15686
2431,14784,338,164,159,157,157,158,11597,57514,1048,191,171,171,166,159,1162,6879,263,220,202,203,201,199,1095,7773,277,224,216,217,215,213,1415,1767,30607,34897,31731,30007,1755,1441,1013,1471,18004,16936,19477,21560,1205,1010,1051,6099,12827,20716,22493,24370,37217,31622,1351,11117,22830,24423,32367,30323,32914,15651
2425,14721,339,162,157,155,155,157,11600,57401,1054,191,167,174,163,160,1165,6872,262,220,201,201,199,204,1094,7731,278,224,216,221,216,211,1407,1751,30437,34566,31532,29658,1743,1431,1007,1456,17946,16824,19413,21418,1200,1007,1048,6075,12820,20652,22417,24209,37205,31607,1352,11078,22827,24372,32327,30239,32873,15617
2429,14717,338,162,158,156,156,153,11599,57301,1045,188,171,171,163,161,1167,6873,262,218,201,202,199,202,1090,7703,276,226,216,216,215,213,1400,1742,30348,34372,31391,29447,1736,1429,1002,1450,17910,16750,19365,21342,1196,1003,1054,6057,12810,20602,22359,24106,37186,31588,1351,11034,22809,24322,32278,30171,32834,15588
2428,14687,340,159,161,157,157,154,11593,57207,1051,189,170,173,162,159,1170,6860,262,220,201,203,199,201,1089,7686,277,223,216,217,215,211,1399,1738,30295,34315,31344,29414,1735,1429,1005,1447,17872,16710,19339,21314,1196,1002,1054,6042,12788,20566,22342,24060,37169,31567,1349,11007,22789,24280,32239,30135,32805,15573
2438,14740,337,162,156,159,157,155,11578,57159,1042,191,171,172,163,159,1173,6877,266,220,202,202,206,199,1086,7673,275,223,215,216,216,211,1395,1739,30329,34367,31366,29470,1735,1429,1001,1446,17863,16705,19336,21322,1195,1003,1054,6044,12775,20555,22343,24066,37154,31558,1352,10997,22773,24263,32225,30127,32783,15560
2448,14804,341,160,157,157,159,155,11575,57131,1050,189,169,175,163,164,1173,6881,262,222,204,202,199,199,1083,7648,276,222,216,217,215,213,1395,1738,30336,34400,31390,29514,1734,1426,1002,1447,17845,16699,19334,21332,1196,1002,1054,6038,12770,20547,22342,24069,37146,31548,1351,10989,22760,24247,32193,30106,32768,15555
2455,14831,339,165,158,156,158,157,11567,57105,1041,192,171,172,165,160,1174,6893,262,221,201,202,198,201,1080,7647,276,224,217,218,216,214,1396,1739,30361,34463,31435,29607,1747,1440,1000,1448,17836,16706,19345,21364,1201,1010,1053,6040,12767,20555,22354,24096,37134,31546,1349,10977,22751,24234,32171,30103,32759,15561
2463,14869,343,162,158,157,154,154,11558,57091,1050,190,173,174,160,158,1178,6918,265,220,202,204,201,203,1083,7668,277,228,218,221,217,212,1408,1753,30365,34482,31558,29776,1742,1431,1008,1455,17827,16712,19414,21454,1199,1001,1054,6044,12785,20595,22387,24131,37178,31577,1349,10970,22773,24285,32154,30094,32828,15589
2480,14994,343,166,157,159,155,158,11512,56893,1038,189,170,173,162,162,1183,6942,265,218,203,204,203,202,1097,7755,279,223,216,218,216,211,1395,1741,30222,34383,31731,29979,1733,1421,999,1448,17788,16691,19499,21563,1189,995,1056,6043,12803,20637,22393,24159,37201,31592,1343,10951,22926,24415,32159,30098,32909,15617
