Detector2,,,,,,,,Detector4,,,,,,,,Detector6,,,,,,,,Detector8,,,,,,,,Detector10,,,,,,,,Detector12,,,,,,,,Detector14,,,,,,,,Detector16,,,,,,,
"RED1,2,3,4","IR1,2,3,4","RED5,6,7,8","IR5,6,7,8","RED9,10,11,12","IR9,10,11,12","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4","RED5,6,7,8","IR5,6,7,8","RED9,10,11,12","IR9,10,11,12","RED13,14,15,16","IR13,14,15,16","RED1,2,3,4","IR1,2,3,4","RED5,6,7,8","IR5,6,7,8","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16","RED1,2,3,4","IR1,2,3,4","RED5,6,7,8","IR5,6,7,8","RED9,10,11,12","IR9,10,11,12","RED13,14,15,16","IR13,14,15,16","RED1,2,3,4","IR1,2,3,4","RED5,6,7,8","IR5,6,7,8","RED9,10,11,12","IR9,10,11,12","RED13,14,15,16","IR13,14,15,16","RED1,2,3,4","IR1,2,3,4","RED5,6,7,8","IR5,6,7,8","RED9,10,11,12","IR9,10,11,12","RED13,14,15,16","IR13,14,15,16","RED1,2,3,4","IR1,2,3,4","RED5,6,7,8","IR5,6,7,8","RED9,10,11,12","IR9,10,11,12","RED13,14,15,16","IR13,14,15,16","RED1,2,3,4","IR1,2,3,4","RED5,6,7,8","IR5,6,7,8","RED9,10,11,12","IR9,10,11,12","RED13,14,15,16","IR13,14,15,16 "
8893,45295,8762,45351,8771,45417,8766,45344,30304,40666,29919,40695,29978,40800,29933,40717,536,3729,527,3733,527,3743,531,3733,21198,26015,20975,26036,20991,26066,20957,25990,495,510,499,510,499,513,496,513,500,500,505,505,506,509,505,505,778,4994,1290,5021,1295,5035,1297,5020,886,1595,1123,1623,1127,1626,1129,1623
8762,45310,8773,45327,8769,45311,8771,45314,29921,40683,29912,40659,29864,40581,29863,40607,527,3730,527,3730,529,3732,527,3727,20909,25945,20892,25935,20879,25913,20912,25947,497,511,498,511,502,520,509,523,501,502,502,504,506,509,506,508,1297,5011,1296,5016,1300,5016,1300,5016,1129,1622,1131,1624,1133,1626,1131,1626
8789,45373,8801,45463,8808,45524,8821,45569,29855,40599,29890,40626,29930,40682,29919,40678,527,3730,527,3735,532,3740,527,3742,20938,25970,20943,25978,20947,25987,20962,26004,508,522,509,521,506,521,510,519,506,510,508,510,510,511,513,510,1298,5027,1302,5041,1301,5051,1306,5056,1131,1629,1132,1629,1134,1632,1134,1637
8834,45663,8832,45657,8822,45555,8822,45556,29958,40764,29983,40778,29927,40695,29921,40664,529,3751,534,3753,529,3740,528,3741,20975,26035,20957,25999,20917,25933,20882,25908,507,520,507,521,503,519,503,518,509,513,513,513,509,508,508,511,1306,5072,1309,5077,1307,5058,1309,5055,1135,1641,1137,1638,1134,1634,1136,1635
8830,45574,8828,45559,8832,45585,8836,45644,29931,40660,29945,40680,29938,40655,29915,40620,529,3745,529,3741,531,3739,529,3747,20873,25905,20903,25923,20912,25921,20921,25939,504,517,504,520,504,517,505,517,508,512,511,509,509,509,508,512,1308,5057,1307,5056,1306,5058,1311,5070,1137,1636,1138,1637,1139,1640,1139,1640
8845,45687,8853,45740,8868,45827,8877,45902,29949,40657,29941,40650,29962,40705,29989,40734,530,3750,530,3750,531,3761,534,3771,20927,25947,20934,25955,20934,25979,20933,25973,505,520,507,519,506,519,507,524,510,511,510,514,514,514,513,516,1310,5077,1313,5086,1312,5097,1316,5108,1138,1640,1141,1645,1140,1649,1145,1648
8867,45811,8861,45767,8865,45771,8863,45755,29975,40721,29957,40669,29965,40639,29971,40650,531,3762,531,3754,532,3754,532,3751,20923,25928,20895,25900,20889,25887,20897,25891,505,520,504,518,506,517,503,516,510,512,508,511,511,511,510,511,1315,5101,1317,5090,1312,5085,1314,5083,1141,1646,1141,1645,1142,1645,1143,1645
8863,45751,8869,45803,8874,45837,8881,45879,29962,40628,29963,40607,29964,40613,29959,40601,531,3751,531,3754,530,3757,535,3760,20911,25902,20929,25911,20929,25915,20929,25916,505,517,504,518,507,519,504,520,508,511,509,513,513,512,511,513,1312,5086,1316,5092,1315,5097,1318,5103,1143,1647,1145,1647,1142,1647,1146,1654
8892,45954,8900,46029,8909,46075,8896,45984,29961,40611,29988,40665,30025,40745,29975,40643,531,3769,531,3775,534,3777,530,3768,20939,25943,20943,25947,20927,25940,20902,25886,507,521,509,522,511,523,509,522,512,517,514,516,515,518,513,515,1317,5117,1321,5125,1321,5135,1323,5124,1147,1654,1146,1654,1147,1655,1145,1654
8895,45962,8894,45946,8895,45940,8899,45971,29995,40617,29995,40599,29984,40579,29995,40583,533,3768,533,3765,531,3762,532,3763,20885,25853,20863,25824,20876,25832,20902,25849,511,520,506,521,505,520,506,520,514,516,514,514,511,512,513,517,1318,5114,1319,5108,1319,5110,1321,5117,1145,1653,1146,1652,1147,1653,1149,1651
8901,45991,8907,46020,8915,46094,8924,46166,30002,40579,29986,40552,29984,40543,30007,40575,531,3766,535,3764,531,3771,533,3781,20894,25847,20907,25863,20927,25885,20944,25914,507,520,507,521,508,523,511,526,513,515,515,516,518,517,519,519,1320,5119,1322,5125,1321,5138,1325,5145,1145,1654,1150,1656,1148,1657,1150,1658
8931,46200,8941,46270,8930,46209,8929,46162,30057,40671,30067,40714,30054,40644,30070,40638,532,3780,535,3786,534,3785,533,3778,20976,25954,20964,25937,20941,25887,20915,25845,510,525,512,527,512,526,511,525,516,520,522,518,519,521,519,519,1325,5155,1327,5167,1329,5156,1326,5144,1150,1662,1151,1665,1149,1662,1152,1661
8931,46174,8934,46211,8933,46219,8941,46234,30066,40614,30077,40626,30101,40637,30082,40602,533,3775,531,3782,533,3780,533,3777,20915,25841,20931,25858,20929,25851,20931,25854,511,527,515,529,520,528,514,528,521,519,519,521,523,522,521,523,1325,5148,1329,5154,1324,5155,1327,5157,1148,1659,1150,1662,1149,1662,1151,1663
8949,46291,8958,46373,8964,46417,8974,46479,30065,40574,30095,40607,30115,40628,30153,40736,533,3782,534,3792,534,3794,535,3799,20958,25886,20977,25909,20977,25914,21006,25955,517,532,519,533,520,534,521,535,523,525,525,527,526,528,526,530,1330,5171,1331,5177,1327,5189,1334,5199,1149,1664,1151,1669,1152,1669,1152,1671
8977,46541,8967,46463,8970,46451,8978,46505,30204,40779,30159,40699,30152,40665,30155,40667,535,3810,535,3799,535,3795,535,3798,21022,25966,20981,25894,20937,25858,20949,25877,525,537,521,535,521,534,525,536,530,533,529,531,530,527,527,531,1333,5213,1335,5193,1330,5188,1335,5198,1152,1673,1153,1669,1152,1670,1153,1670
8982,46518,8981,46522,8989,46577,8998,46647,30197,40703,30191,40692,30171,40647,30198,40675,536,3801,535,3803,535,3804,536,3811,20968,25889,20956,25873,20955,25876,20985,25909,523,537,523,538,525,537,530,540,529,532,530,531,531,533,533,534,1336,5199,1335,5200,1335,5209,1337,5218,1159,1671,1154,1674,1156,1673,1156,1679
9006,46687,9015,46745,9022,46804,9013,46723,30235,40713,30234,40747,30299,40827,30260,40742,538,3817,538,3821,536,3827,538,3818,20981,25899,21002,25929,21019,25957,20976,25883,527,541,528,543,530,543,527,543,532,535,530,534,537,539,534,536,1338,5226,1340,5237,1339,5248,1341,5231,1156,1682,1156,1683,1157,1683,1158,1681
9012,46710,9018,46760,9022,46777,9021,46778,30263,40726,30267,40720,30300,40746,30301,40741,537,3813,537,3819,538,3818,538,3818,20953,25855,20973,25886,20981,25885,20967,25860,527,541,529,543,528,544,529,543,535,531,534,540,536,537,537,538,1335,5225,1339,5233,1339,5236,1340,5234,1153,1680,1158,1679,1159,1679,1158,1681
